model,n_features,insample_r2,cv_r2_mean,cv_r2_std,rand_test_r2,delta_cv_mean,delta_rand_test
M0,31,0.1213,0.1067,0.0168,0.1188,,
M_tags,38,0.128,0.1109,0.0194,0.121,0.0042,0.0023
