video_id,category,log_views,title_len,word_count,caps_ratio,exclaim_cnt,question_cnt,has_number,has_bracket,tag_cnt,hour_bin,publish_weekday,publish_time,sent_compound,sent_pos,sent_neg,sent_abs,chan_mean_oof,chan_mean_naive,chan_freq,chan_freq_log,trending_lag,days_on_trending,log_likes,log_comment_count,comments_disabled,ratings_disabled
nt7b-Qp34hk,Comedy,12.020574047280398,22,3,0.1875,0,0,1,0,8,12-17,6,2018-02-11 17:00:03+00:00,0.0,0.0,0.0,0.0,13.44512191797533,12.020574047280398,1,0.6931471805599453,4,6,9.06554578707295,6.583409222158765,0,0
GTSjDaoZcAk,Howto & Style,12.022263983543205,36,7,0.1724137931034483,0,0,0,0,45,12-17,5,2017-12-30 18:17:52+00:00,0.6705,0.579,0.0,0.6705,12.785657173532156,12.022263983543205,1,0.6931471805599453,1,8,9.20552881497896,7.739794458408701,0,0
paNVYGfGrqI,News & Politics,12.023519061820055,55,11,0.1,0,0,1,0,3,06-11,6,2018-02-04 12:15:46+00:00,-0.8658,0.0,0.618,0.8658,10.700709063280607,10.578154617326016,17,2.8903717578961645,1,4,6.29156913955832,6.236369590203704,0,0
Djxjmq9pvrM,Howto & Style,12.02519205005262,46,8,0.303030303030303,0,0,1,0,21,12-17,6,2017-11-19 17:00:01+00:00,0.0,0.0,0.0,0.0,12.106074739115169,12.408211948646978,4,1.6094379124341003,2,6,8.39366870513074,5.991464547107982,0,0
hIcR65h2GDs,News & Politics,12.025982597068452,45,8,0.0625,0,0,1,0,8,06-11,3,2018-02-15 13:51:01+00:00,-0.296,0.0,0.239,0.296,11.745083146731384,11.403832168105946,2,1.0986122886681098,8,2,7.074116816197362,6.513230110912307,0,0
MYdqaxZndzE,Music,12.026413541261864,73,12,0.2105263157894736,0,0,1,0,13,18-23,2,2018-02-22 00:30:51+00:00,0.7717,0.427,0.0,0.7717,13.874522102615504,12.026413541261864,1,0.6931471805599453,3,4,7.96693349840484,5.318119993844216,0,0
d6hso-SroWE,Sports,12.029078870866316,38,8,0.3076923076923077,0,0,1,0,47,18-23,4,2018-01-20 03:00:04+00:00,-0.4215,0.0,0.318,0.4215,13.297791807743147,13.385727333602198,36,3.6109179126442243,1,2,7.968319500012717,7.261927092702751,0,0
JDnfux-fSJU,Entertainment,12.030134670255158,29,4,1.0,0,0,0,0,37,12-17,5,2017-12-16 19:00:02+00:00,0.4019,0.474,0.0,0.4019,12.982419906962972,12.795616081969971,5,1.791759469228055,2,5,9.522446728338489,6.289715570908998,0,0
dAOZa7JYnsw,Science & Technology,12.032338114473507,35,5,0.1666666666666666,1,0,0,0,15,06-11,0,2018-04-16 14:00:06+00:00,-0.5093,0.0,0.451,0.5093,12.66554732339003,12.45447758708452,3,1.3862943611198906,5,9,8.59877317840866,5.62040086571715,0,0
sOIBkZsGb0A,Comedy,12.032427340969075,57,11,0.2045454545454545,0,1,0,0,19,06-11,0,2017-11-27 16:00:06+00:00,0.4939,0.314,0.0,0.4939,11.150993956959056,11.444805084962397,3,1.3862943611198906,1,6,8.643120748014027,6.421622267806518,0,0
JnepCulEQOo,Autos & Vehicles,12.036848936205397,92,15,0.1780821917808219,1,0,0,0,7,18-23,5,2017-12-23 23:57:32+00:00,0.0,0.0,0.0,0.0,12.842852444270193,12.036848936205397,1,0.6931471805599453,2,11,7.074963197966044,5.545177444479562,0,0
hlrvK4xnLKA,Howto & Style,12.03712130767439,39,8,0.4,0,0,1,0,23,06-11,5,2018-02-10 15:30:01+00:00,0.0,0.0,0.0,0.0,12.816354864715914,12.03712130767439,1,0.6931471805599453,1,9,8.470520783217808,6.240275845170769,0,0
fJJBAwiOjRI,Howto & Style,12.037127227969458,19,3,0.625,1,0,0,0,41,12-17,4,2017-12-08 21:00:01+00:00,0.0,0.0,0.0,0.0,14.386193825043591,13.798927175775058,4,1.6094379124341003,2,5,9.2610334862917,8.183118079394745,0,0
getVCtn-4Zg,People & Blogs,12.037144988644364,13,3,0.3,1,0,0,0,23,06-11,0,2018-01-01 15:00:04+00:00,0.4199,0.583,0.0,0.4199,13.030410529106724,12.037144988644364,1,0.6931471805599453,5,4,8.1786387885907,5.093750200806762,0,0
JTof-eIChUA,Gaming,12.037476463354697,86,14,0.1470588235294117,2,0,1,0,17,12-17,0,2018-01-01 19:59:06+00:00,-0.8217,0.0,0.462,0.8217,13.962643164895107,12.037476463354697,1,0.6931471805599453,4,4,8.173575486634153,6.450470422144176,0,0
GBhrvR838Ag,News & Politics,12.037790079319729,54,8,0.0851063829787234,0,0,0,0,7,12-17,0,2017-11-27 18:48:15+00:00,0.0,0.0,0.0,0.0,12.426780570529312,12.63361760167478,52,3.970291913552122,1,4,7.131698510466912,7.064759027791802,0,0
NwhkN7Y0WM0,Travel & Events,12.03780782822595,57,7,0.1372549019607843,0,0,0,0,20,12-17,1,2018-04-10 18:39:57+00:00,0.296,0.268,0.0,0.296,11.341910935610578,11.643685480556565,4,1.6094379124341003,4,7,6.744059186311348,4.8283137373023015,0,0
