video_id,channel_title,category,log_views,chan_mean_oof,chan_mean_naive,chan_freq
42FRgdjveGU,Netflix,Entertainment,14.523516301305396,13.02602912750887,12.952804275055636,58
gw82GrEt370,Natalies Outlet,Entertainment,14.524781056435716,14.423424416221694,14.474102736328705,2
16W7c0mb-rE,Kurzgesagt – In a Nutshell,Education,14.52493553344035,14.783909665650583,14.847118979262717,9
Q-oM2BQ8Jow,AnselElgortVEVO,Music,14.52599704020591,13.898679705772594,14.52599704020591,1
r2vDabFVj-A,Jimmy Kimmel Live,Entertainment,14.526063377691257,13.512466486459804,13.533943661262422,70
4AtOU0dDXv8,CNN,News & Politics,14.526887070015825,12.928440312595928,12.633617601674779,52
dedaP9ym-hY,ChrisBrownVEVO,Music,14.5296258628354,13.874522102615504,14.5296258628354,1
8udNOTFiqUs,WIRED,Science & Technology,14.530566479737974,13.738479553045494,13.50063888738107,26
Sy3ERg7OCWo,jypentertainment,Music,14.531280405376272,16.743617286211794,16.424624945043625,7
R8WBN3fJmwM,Karina Garcia,Howto & Style,14.53155019522042,14.742049398133672,14.636799796677046,2
ldmDBJRARB4,Jimmy Kimmel Live,Comedy,14.532019221652304,13.406222540033111,13.533943661262422,70
w2Es7-c9GAk,Entertainment Tonight,Music,14.53333181435742,11.568801050770036,11.796841878738295,13
jlmNwjdYVnk,ViralHog,Music,14.534167578069267,10.440959328095984,10.691424479416792,14
RMWTNik9i_8,The Film Theorists,Film & Animation,14.534523321452417,15.256635058760263,15.153454281279215,12
b2EOxGUuBWA,ONE Media,Film & Animation,14.537376867950844,13.843748179633497,13.95935296101972,6
nNZrc_XvF30,MeghanTrainorVEVO,Music,14.5374803475119,15.90485455170448,15.563011000656335,4
-1Hm41N0dUs,Jimmy Kimmel Live,Comedy,14.537496378598608,13.406222540033111,13.533943661262422,70
ir0G79oHXMc,Jason Derulo,Music,14.538557744685008,15.69388778052286,15.30877776857691,3
Dwc27Lsr1EY,Manifest,Entertainment,14.538919691555549,13.151470667949019,14.538919691555549,1
q1jzwV_s8_Y,CAguileraVEVO,Music,14.540487746033117,14.36152661293275,14.981554662762727,5
3tjHS7JRB4c,Team Edge,Comedy,14.541559490566772,14.450068705028498,14.365760917676097,6
pzD9zGcUNrw,Warner Bros. Pictures,Entertainment,14.544103547221017,14.870083904555555,14.698221815456565,24
WMs3NOW1TDs,The Slow Mo Guys,People & Blogs,14.54922370027088,14.348442637549075,14.522481322819342,18
MXpPRTHo5fs,Complex,Entertainment,14.549590926862212,13.190464726722585,13.679182656951566,14
0PpNlNJ6Nng,Simply Nailogical,Entertainment,14.54976081353765,14.693503903056918,14.640814956050933,12
zbtyaKAMDdk,The Slow Mo Guys,People & Blogs,14.549864459027942,14.453755837434947,14.522481322819342,18
6-Bf9yUay50,Bethany Wilhelm,Comedy,14.550748367986762,13.392146039143084,14.550748367986762,1
yc0kcGgg3o0,TheEllenShow,Entertainment,14.551253998104906,13.674610218099264,13.630704438024322,74
goIXAFdlcUw,LaurDIY,Howto & Style,14.55141881181548,14.180618831133822,14.320962053971366,6
fLwKs5yslSU,IISuperwomanII,Comedy,14.552649743248695,14.432358711721534,14.347233305900595,18
88EB0TEGQDA,Beyonce,Music,14.55275739563494,13.903781870322335,14.55275739563494,1
ut6UYwbt6Xk,Screen Junkies,Film & Animation,14.553398763602448,14.266878524122616,14.303603152258713,25
JZoO1Ftj-bM,Screen Junkies,Film & Animation,14.55340880412552,14.226524735048526,14.303603152258713,25
CP6aYDssDSE,Strictly Dumpling,Travel & Events,14.55440518307564,13.619505669638999,13.945362488690066,5
